"C04_PERIODO","INS_COD","C04_APC","C04_PEC","C04_IRS"
201608,"ONOP",161330775147558,21974407607893,13.62
201608,"ONWQ",125316832314042,16333724049784,13.03
201608,"OONQ",950982353428.1,203875397321,21.44
201608,"PNOQ",97219423914153.6,12732815717425,13.1
201608,"PNOR",103346612076667,13822779682553,13.38
201608,"PNOS",18629397416285.8,2251155668951,12.08
201608,"PNPQ",21970220237375,2510944367231,11.43
201608,"PNQQ",17322812094841.3,3256746423824,18.8
201608,"PNQR",9498095018452,1275621845531,13.43
201608,"PNQS",3382874516317.5,1137230068507,33.62
201608,"PNQT",2521995209486.6,481066101732,19.07
201608,"PNQU",1825663545452,260594618527,14.27
201608,"PNQV",155917127521.4,235015254861,150.73
201608,"PNQW",3086918867203.4,858266705021,27.8
201608,"PNRN",295955649114.1,278963363486,94.26
201608,"PNTQ",4955929552459.2,1148456357986,23.17
201608,"UP",50836665329.4,72638755089,142.89
201609,"TU",755664538179.5,121282651075,16.05
201609,"UN",33809983484.2,42638451768,126.11
201609,"PP",996216082980,139584553992,14.01
201608,"ST",13420778084.2,21055842934,156.89
201609,"ST",13003511899.8,21005577821,161.54
201609,"SV",48740351410.9,57069738880,117.09
201609,"TR",1489880701501.1,237196546443,15.92
201609,"UQ",55639316943.5,130440942480,234.44
201609,"SR",242420300313.2,220115412829,90.8
201609,"QN",36785964447.7,23664953075,64.33
201609,"OR",26716021953602.1,3693572285195,13.83
201609,"TP",4857204996177.4,661212866048,13.61
201609,"TV",2540039291805.5,485918382271,19.13
201609,"RO",4590816008821.8,632653134121,13.78
201609,"RR",388967952489.7,88976209801,22.87
201609,"TT",954284271402.7,206413568459,21.63
201609,"PS",21990806476015.9,2513397463220,11.43
201609,"PW",24414794230134.7,3294201872520,13.49
201609,"TW",61551609695.9,213871953048,347.47
201609,"WPW",4151018321861.9,584311035738,14.08
201609,"SOU",9682354524899.3,1198315495909,12.38
201609,"UP",46292201960,72575773274,156.78
201609,"SN",27130806098528.9,3581044600756,13.2
201609,"WRN",6507043044357.2,889614597155,13.67
201609,"SP",24313863252771.8,3326524585680,13.68
201609,"WOQ",138001876326525,19386081446051,14.05
201609,"WTQ",88645425605621.3,12120661077085,13.67
201609,"WUQ",71347257196919.5,9778817832186,13.71
201609,"WVQ",137660926198453,19064225763446,13.85
201609,"WWQ",387242330031.6,394431455879,101.86
201609,"ONOO",160048322119484,22029919851751,13.76
201609,"ONOP",160048322119484,22029919851751,13.76
201609,"ONWQ",124566292011053,16408740807371,13.17
201609,"OONQ",954284271402.7,206413568459,21.63
201609,"PNOQ",96632335307183.7,12835377087466,13.28
201609,"PNOR",102575485535038,13895343344151,13.55
201609,"PNOS",18370713024918,2266558328995,12.34
201609,"PNPQ",21990806476015.9,2513397463220,11.43
201609,"PNQQ",17055677766569.4,3224179772905,18.9
201609,"PNQR",9448021004999.2,1293866000169,13.69
201610,"PP",1004438455210.9,140382843965,13.98
201610,"TV",2552851444697.7,488449583466,19.13
201610,"UN",38443605034.5,42392899873,110.27
201610,"QN",32675258004.1,23786449463,72.8
201610,"OR",26459476971833.3,3709924901454,14.02
201610,"TU",745531706836.3,122620545072,16.45
201610,"TP",4929972628470.1,662819254910,13.44
201610,"PS",22584125005595.7,2514176452091,11.13
201610,"UQ",58398089584.8,128150125153,219.44
201610,"TW",61098101245.8,214029383778,350.3
201610,"WPW",4072841371462.5,567876184657,13.94
201610,"PW",24226291283426.2,3312729643284,13.67
201610,"WRN",6209305524765.6,860880122088,13.86
201610,"SP",23954820668543.3,3325630099003,13.88
201610,"SN",27063416391363.6,3612437769230,13.35
201610,"SR",239569085654.4,219005960251,91.42
201610,"UP",51974411476.5,72003931709,138.54
201610,"RO",4640388378514.2,636440519656,13.72
201610,"RR",375594507652.1,86897381152,23.14
201610,"WOQ",137463375853526,19475141626993,14.17
201610,"WTQ",89001729524458.1,12166990163018,13.67
201610,"WUQ",71045771334663.8,9822327916066,13.83
201610,"WVQ",137127324497256,19154431962774,13.97
201610,"WWQ",388025767746.6,392713595928,101.21
201610,"ONOO",160105898948707,22117468204237,13.81
201610,"ONOP",160105898948707,22117468204237,13.81
201610,"ONWQ",124288130320762,16474898865062,13.26
201610,"OONQ",945456400094.4,206023320278,21.79
201610,"PNOQ",96267566939145,12917120839649,13.42
201610,"PNOR",101704005315166,13960722412971,13.73
201610,"PNOS",18518382292521.9,2282028525681,12.32
201610,"PNPQ",22584125005595.7,2514176452091,11.13
201610,"PNQQ",17240988245837.9,3232390688341,18.75
201610,"PNQR",9570361006984.3,1299259774566,13.58
201610,"PNQS",3281087550726.5,1080386240356,32.93
201610,"PNQT",2543087255464.2,488037580414,19.19
201610,"PNQU",1749970162047.2,263003389037,15.03
201610,"PNQV",154880360200.5,229853829121,148.41
201610,"PNQW",3041518465072.1,861380280105,28.32
201610,"PU",8709388708613.5,1074775152252,12.34
201610,"PNRN",239569085654.4,219005960251,91.42
201610,"PNTQ",4835996486258.5,1154083441401,23.86
201610,"SOU",9808993583908.4,1207253373429,12.31
201611,"SV",54245677433,56895552313,104.88
201611,"UQ",74286774999,128356918028,172.79
201610,"TT",945456400094.4,206023320278,21.79
201611,"ST",12383834294,21022315498,169.76
201611,"UN",31503914144.5,35683030100,113.27
201611,"QN",34528376392.4,23737308736,68.75
201611,"TR",1610661122905.5,241978562928,15.02
201611,"UP",52639393363.5,71592227828,136.01
201611,"PU",8809917423399.3,1088410582320,12.35
201611,"SOU",10128303920513.5,1211212332072,11.96
201611,"TP",5012856017551.7,660553992759,13.18
201611,"RR",422440924828,84914487681,20.1
201611,"OR",26936586943729.9,3722451647832,13.82
201611,"PW",24913219600591.2,3333006501715,13.38
201611,"WPW",4333909792815.4,589174730760,13.59
201611,"TW",61935487578,214512909929,346.35
201611,"SR",215419253325.1,221083121160,102.63
201611,"WRN",6166654413746.4,861264728143,13.97
201611,"SP",23617944912864.4,3295109664857,13.95
201611,"TT",968871862862.6,208395329555,21.51
201611,"PS",22254643918102.8,2521124867320,11.33
201611,"TV",2641395046906.9,484013774142,18.32
201611,"RO",4769497382191.8,639138327222,13.4
201611,"SN",27311331167908.6,3635426462274,13.31
201611,"WOQ",139364269431778,19514682248251,14
201611,"WTQ",90205852536004.7,12202086291666,13.53
201611,"WUQ",71413060813876.4,9833720823905,13.77
201611,"WVQ",139047692290334,19191943950544,13.8
201611,"WWQ",369216534808,394330525535,106.8
201611,"ONOO",161693200124880,22164164033599,13.71
201611,"ONOP",161693200124880,22164164033599,13.71
